145 W Broadway,40.71692,-74.00792,4
38 W St,40.70644115,-74.01699248,4
250 Vesey St,40.714167,-74.016111,3.5
251 Church St,40.71782,-74.00547,3.5
227 Mulberry St,40.72246,-73.99618,4.5
225 Liberty St,40.71156,-74.01533,3
71 N Moore St,40.72018,-74.00991,4
390 Broome St,40.72074,-73.99696,4
93 Bowery St,40.71707953,-73.99525747,4.5
100 Maiden Ln,40.70672,-74.00722,4
55 Water St,40.7032,-74.00914,4.5
13 Doyers St,40.71449052,-73.99815386,3.5
151 E Broadway,40.71387,-73.99091,4.5
11 Stanton St,40.72242,-73.99245,5
87 Chrystie St,40.717587,-73.9944029,4
154 Bleecker St,40.7281,-73.99963,4
300 Spring St,40.72572,-74.00798,4
86 Allen St,40.7179075,-73.9907183,4
231 Mott St,40.7226371,-73.9951331,4
195 Broadway,40.71071,-74.00941,3.5
86 W 3rd St,40.729807,-73.999159,4
111 Fulton St,40.70973195,-74.00655734,4
138 Division St,40.71449887,-73.99155594,4
275 Greenwich St,40.71516,-74.01107,4
68 Forsyth St,40.71695,-73.99327,4
24 Peck Slip,40.70788,-74.00194,4
31 Great Jones St,40.72693,-73.99319,4
10 Hanover Sq,40.7045699,-74.00886,4
118 Eldridge St,40.71842904,-73.9916929,4.5
70 Kenmare St,40.7209918,-73.9963582,4
110 Wall St,40.70478,-74.00652,3.5
218 Lafayette St,40.72191799,-73.99764721,4
225-227 Front St,40.7074747,-74.0020404,4
75 Baxter St,40.7162609,-73.9999063,4
180 Bleecker St,40.72894,-74.00095012,4
213 Front St,40.70726,-74.00227,3.5
119 South St,40.70732,-74.00159,4
5 King St,40.72781,-74.002861,3.5
179 Franklin St,40.7193085,-74.0095971,4
11 Fulton St,40.70654,-74.00325,4
363 Greenwich St,40.71915,-74.00994,4
361 Greenwich St,40.71904,-74.01016,3
282 Hudson St,40.72528,-74.0074,4.5
475 W Broadway,40.7266571,-73.99989367,3.5
6 Bond St,40.726934,-73.994404,4
187 Mulberry St,40.72103417,-73.99674923,3.5
57 Great Jones St,40.72639,-73.99236,4.5
301 S End Ave,40.7102746,-74.0164863,3.5
558 Broome St,40.72452,-74.00569,4.5
100 Allen St,40.7187,-73.99031,3.5
194 Elizabeth St,40.72171,-73.99428,4
45 Bayard St,40.715082,-73.997342,4
192 Grand St,40.71929789,-73.99691604,4.5
275 Church St,40.718477,-74.004802,4
1 Hanover Sq,40.704512,-74.009834,4
109 Eldridge St,40.71821,-73.99223,4.5
186 Mott St,40.72075,-73.9957,4
216 Thompson St,40.72894,-73.99911,4
22 Peck Slip,40.7080634,-74.002083,4
210 Spring St,40.72535456,-74.00370109,4
127 Grand St,40.7204278,-74.0002028,4.5
105 Bowery,40.71759,-73.99489,4
62 Pearl St,40.7034454,-74.0110779,4
160 Prince St,40.72596,-74.00143,4.5
13 Mott St,40.714167,-73.998803,4
7 Hanover Square,40.704046,-74.0096618,3.5
180 Prince St,40.72615,-74.00216,4
326 Spring St,40.725925,-74.009489,4
93 Baxter St,40.71695,-73.99957,4.5
50 Spring St,40.721964,-73.996499,4.5
16 Delancey St,40.72031,-73.99305,4
281 W Broadway,40.72077,-74.00489,4.5
165 Church St,40.71511,-74.00758,4
54 Pearl St,40.70344,-74.01135,3.5
3 Doyers St,40.71424,-73.99799,4
265 Elizabeth St,40.72392,-73.99378,4.5
430 Lafayette St,40.72917,-73.99227,3.5
129 Mulberry St,40.71832,-73.99794,4
351 Broome St,40.7196979,-73.9951175,4
268 6th Ave,40.729047,-74.002153,3.5
25 Hudson St,40.71673,-74.0093,3.5
21 Bedford St,40.72903,-74.00357,4
200 Broadway,40.71086255,-74.00873797,3.5
124 Chambers St,40.715129,-74.008865,4
284 Mulberry St,40.72448,-73.99504,4
104 Fulton St,40.70953,-74.00679,4
3 Hanover Sq,40.70499,-74.00961,4
120 Cedar St,40.70961089,-74.01272937,3.5
97 Nassau St,40.7104975,-74.0076675,4.5
66 Charlton St,40.72697,-74.00611,4
235 Murray St,40.7153813,-74.01401294,3
205 Thompson St,40.7286749,-73.9996277,4
90 Chambers St,40.714458,-74.007439,3.5
190 6th Ave,40.726306,-74.003427,4
37 Kenmare St,40.7207236,-73.9953191,4
55 E Houston St,40.7244923,-73.9944022,4
55 Wall St,40.70611,-74.00921,3.5
25 Murray St,40.71393,-74.00822,4
200 Pearl St,40.707425,-74.004784,4
339 Greenwich St,40.7183455,-74.0102912,3.5
28 Bowery,40.71503638,-73.99711724,3.5
325 Church St,40.720104,-74.003578,4
53 Great Jones St,40.7264539,-73.992549,3.5
144 Fulton St,40.71038,-74.00858,4
155 Varick St,40.72629511,-74.00589305,3.5
345 Greenwich St,40.718499,-74.0103228,3
80 Broad St,40.70426,-74.01172,4.5
40 Water St,40.70351,-74.01024,4
96 Bowery,40.71762995,-73.99543013,4.5
385 Greenwich St,40.72021,-74.00996,4
460 Greenwich St,40.72379,-74.0097399,4
301 Church St,40.7193829,-74.004417,3.5
36 E 4th St,40.7272,-73.99228,4.5
9 Broadway,40.7051706,-74.0140126,3.5
126 Chambers St,40.71524,-74.00889,3.5
41 Kenmare St,40.72093,-73.99548,4.5
163 Mulberry St,40.719795,-73.997406,4
57 Murray St,40.71432,-74.00972,4.5
386 Canal St,40.72138,-74.00497,4
35 Downing St,40.72933007,-74.00384001,4
87 MacDougal St,40.72905,-74.00143,4
25 Cooper Sq,40.72790811,-73.99092849,4
14-18 Elizabeth St,40.71592,-73.99725,4
25 W Houston St,40.7258,-73.99793,3.5
14 Spring St,40.721146,-73.994904,3.5
20 Elizabeth St,40.71595524,-73.99718311,3.5
114 Macdougal St,40.72969,-74.000629,4
510 Laguardia Pl,40.72793,-73.99928,3.5
139 Duane St,40.716507,-74.007624,4
25 N Moore St,40.720073,-74.007227,4
331 South End Ave,40.71093146,-74.01611909,4.5
197 Grand St,40.71898651,-73.99693298,4
20 Maiden Ln,40.70903,-74.00925,4
344 Bowery,40.72633507,-73.99204769,4
163 Elizabeth St,40.7208633,-73.9950497,4
32 Cliff St,40.70814,-74.00495,4
14A Elizabeth St,40.7159077,-73.997383,4
185 Sullivan St,40.7283483,-74.0006612,4
184 Prince St,40.726284,-74.002151,4
206 W St,40.71653631,-74.01279106,3.5
200 Broadway,40.71049447,-74.00875535,4
1 Fulton St,40.70693982,-74.00296667,5
58 Henry St,40.71275,-73.99508,4.5
50 Macdougal St,40.727303,-74.00243,4
508 Greenwich St,40.72562883,-74.0092368,4
39 E Broadway,40.71345,-73.9962,4
104 Bayard St,40.716289,-73.99974,4
9 Great Jones St,40.727232,-73.994069,3.5
225 Liberty St,40.712455,-74.015304,3
261 Water St,40.708347,-74.001492,4
155 William St,40.7098875,-74.0063175,3.5
125 Mulberry St,40.7179895,-73.9982094,3.5
176 Prince St,40.7262073,-74.0018919,4
22 Church St,40.71640099,-74.00701,3.5
114 Kenmare St,40.72150208,-73.99764061,3.5
77 Fulton St,40.7089545,-74.0050526,4
35 Lispenard St,40.71996,-74.00354,4.5
80 Broad St,40.7042826,-74.011963,4
13 E 1st St,40.72443789,-73.9915524,4.5
35 Orchard St,40.7158,-73.99169,4.5
66 W Broadway,40.71466,-74.01009,5
102 Bowery St,40.71782392,-73.99533059,4
85 W Broadway,40.71521,-74.00913,4.5
242 Mott St,40.72318027,-73.99461756,4
42 Bowery St,40.71554,-73.99672,4
54 Carmine St,40.72976593,-74.00376653,4
142 Mercer St,40.72461217,-73.99857471,4
112 Hudson St,40.71957,-74.00836,5
452 Washington St,40.7239479,-74.010406,4.5
42 E Broadway,40.7137,-73.99598,4
189 Hester St,40.71823,-73.99764,4
89 MacDougal St,40.7290891,-74.0014326,3.5
323 Greenwich St,40.71726,-74.01055,3.5
44 Trinity Pl,40.70723,-74.01342,3.5
259 Front St,40.7081358,-74.0004532,3.5
76 Carmine St,40.72943,-74.00466,3.5
222 W Broadway,40.71928,-74.00647,3.5
409 Greenwich St,40.7211087,-74.0098128,4
222 Lafayette St,40.7220786,-73.9975506,4
107 Eldridge St,40.71807,-73.99213,4
54 Prince St,40.72353318,-73.99638958,3.5
142 W Houston St,40.72806,-74.00172,4
248 Mulberry St,40.72303,-73.99567,3.5
5 Gold St,40.70758,-74.00715,4
376 W Broadway,40.723665,-74.00288,3.5
225 Liberty St,40.71264629,-74.01601105,3
102 N End Ave,40.715,-74.0158,3.5
506 Laguardia Pl,40.727733,-73.999557,4
203 Front St,40.7070099,-74.00327188,4
21 Maiden Ln,40.70930874,-74.00901603,4
8 Liberty Pl,40.7090402,-74.0093809,3.5
32 Mulberry St,40.71461,-73.999528,4
335 Bowery,40.72609,-73.99166,3.5
9 E 1st St,40.72453,-73.9917876,4
84 Chambers St,40.7143487,-74.0072147,4.5
43 Canal St,40.7149,-73.99132,4.5
70 Pine St,40.706518,-74.007772,3
114 Eldridge St,40.71814191,-73.99185417,4.5
19 Eldridge St,40.71505,-73.99384,4.5
84 William St,40.70803,-74.00785,4
21 Mott St,40.71443,-73.99889,3.5
313 Church St,40.71968,-74.00386,4.5
5 Doyers St,40.71433,-73.99804,3.5
112 Eldridge St,40.71816,-73.99186,4.5
10 Downing St,40.72953139,-74.00276984,3.5
40 Rivington St,40.7210142,-73.99106383,4
81 Chrystie St,40.7174007,-73.99437,3.5
25 Broad St,40.70606,-74.01114,3.5
222 Lafayette St,40.72211,-73.99769,4
303 Broome St,40.7187118,-73.9924058,4
372 Lafayette St,40.72726413,-73.99391456,3.5
132 W Houston St,40.7279368,-74.00155956,3.5
110 Thompson St,40.72575,-74.00178,4
543 LaGuardia Pl,40.72847021,-73.99798393,4.5
11 Pell St,40.71471852,-73.99779662,4
18 E Broadway,40.71367705,-73.99716336,3.5
30 Hudson St,40.7166953,-74.0089441,4
3 Hanover Square,40.70499,-74.00961,4
330 W Broadway,40.72229,-74.00403,4
140 Broadway,40.70865,-74.01011,4
164 Pearl St,40.70591,-74.00747,4
277 Church St,40.71853,-74.00477,4
5 Bleecker St,40.725502,-73.992675,4
200 Vesey St,40.71308651,-74.01608423,3.5
230 Thompson St,40.72933,-73.99865,4
94 Chambers St,40.71463,-74.00752,3.5
157 Chrystie St,40.720429,-73.992872,4
97 Macdougal St,40.72959,-74.0011,4
40 Thompson St,40.72329,-74.00382,4
17 Mott St,40.7142239,-73.99886917,3.5
157 Mott St,40.71952,-73.99657,4
220 Varick St,40.729019,-74.004997,4
32 Cedar St,40.70712,-74.00845,4
200 Spring St,40.72496,-74.00341,4
177 Prince St,40.72645,-74.0018,4
345 E Houston St,40.72896103,-74.00980741,5
60 Mulberry St,40.71554973,-73.99939246,4
41 Mercer St,40.72152,-74.00142,3.5
99 MacDougal St,40.7296,-74.00096,4
70 Forsyth St,40.71701,-73.99324,4.5
1 Wall St Ct,40.70548154,-74.00828362,3.5
16 Mott St,40.71426,-73.99849,4
23 Grand St,40.72279,-74.00491,3.5
274 Greenwich St,40.7154192,-74.01121661,5
22 Orchard St,40.71534,-73.9914,4
29 John St,40.70972,-74.00854,4
19 Cleveland Pl,40.72164,-73.99722,5
46 Mulberry St,40.715031,-73.99931,4.5
4 Bleecker St,40.72524,-73.99271,3.5
34 Canal St,40.7143451,-73.9905184,4
227 Canal St,40.71787,-73.99948,4
234 Spring St,40.72549,-74.00489,3.5
120 Hudson St,40.7198118,-74.0083092,3.5
1 Howard St,40.71893129,-73.99945247,4
70 Pine St,40.70582325,-74.0069698,4.5
167 Mulberry St,40.719928,-73.997352,3.5
92 Hester St,40.7161793,-73.9925896,4
32 Mulberry St,40.71461,-73.99939,4.5
199 Prince St,40.7267198,-74.0027459,3.5
51 Division St,40.71416,-73.995061,4
19 S William St,40.7043573,-74.0103186,3.5
428 Greenwich St,40.72229303,-74.0098838,4
10 Pell St,40.71487,-73.99758,3.5
