name,latitude,longitude,type,node_id
117th St & St Nicholas Ave,40.8042026,-73.9527445,intersection,312
117th St & Frederick Douglass Blvd,40.8051052,-73.954868,intersection,313
117th St & Manhattan Ave,40.8057168,-73.956318,intersection,314
117th St & Morningside Ave,40.8063054,-73.9577164,intersection,315
118th St & Amsterdam Ave,40.80812,-73.960106,intersection,316
118th St & Morningside Ave,40.806928,-73.9572581,intersection,317
118th St & Morningside Dr,40.8074136,-73.9584147,intersection,318
118th St & Manhattan Ave,40.8063489,-73.955864,intersection,319
118th St & Frederick Douglass Blvd,40.8057394,-73.9544112,intersection,320
118th St & St Nicholas Ave,40.805037,-73.9527766,intersection,321
118th St & Adam Clayton Powell Jr Blvd,40.804585,-73.9516748,intersection,322
118th St & Malcolm X Blvd,40.8033696,-73.9488052,intersection,323
118th St & 5th Ave,40.8019767,-73.9455153,intersection,324
118th St & Madison Ave,40.8012913,-73.9438948,intersection,325
118th St & Park Ave,40.8005629,-73.942149,intersection,326
118th St & Lexington Ave,40.7999429,-73.9406718,intersection,327
118th St & 3rd Ave,40.799253,-73.939062,intersection,328
118th St & 2nd Ave,40.798309,-73.9368207,intersection,329
118th St & 1st Ave,40.79731,-73.934456,intersection,330
118th St & Pleasant Ave,40.7963672,-73.9322081,intersection,331
119th St & Pleasant Ave,40.7969908,-73.9317587,intersection,332
119th St & 1st Ave,40.7979325,-73.9339971,intersection,333
119th St & 2nd Ave,40.7989456,-73.9363718,intersection,334
119th St & 3rd Ave,40.7998881,-73.9386081,intersection,335
119th St & Lexington Ave,40.800565,-73.9402142,intersection,336
119th St & Park Ave,40.8011835,-73.9416883,intersection,337
119th St & Madison Ave,40.801923,-73.9434338,intersection,338
119th St & 5th Ave,40.8026046,-73.9450496,intersection,339
119th St & Malcolm X Blvd,40.8039288,-73.9481986,intersection,340
119th St & Adam Clayton Powell Jr Blvd,40.80521,-73.9512034,intersection,341
119th St & St Nicholas Ave,40.8058796,-73.9528142,intersection,342
119th St & Frederick Douglass Blvd,40.806353,-73.953957,intersection,343
119th St & Manhattan Ave,40.806966,-73.955411,intersection,344
119th St & Morningside Ave,40.807546,-73.956806,intersection,345
119th St & Morningside Dr,40.8080364,-73.9579511,intersection,346
119th St & Amsterdam Ave,40.8087566,-73.9596542,intersection,347
11th Ave & 16th St,40.7440351,-74.0085773,intersection,348
11th Ave & 17th St,40.7447302,-74.0084554,intersection,349
11th Ave & 18th St,40.745538,-74.0083003,intersection,350
11th Ave & 19th St,40.7460955,-74.0079944,intersection,351
11th Ave & 20th St,40.7468022,-74.0078626,intersection,352
11th Ave & 21st St,40.7475035,-74.0077332,intersection,353
11th Ave & 12th Ave,40.7478483,-74.0078746,intersection,354
11th Ave & 22nd St,40.7481803,-74.0074286,intersection,355
11th Ave & 23rd St,40.7489167,-74.0070798,intersection,356
11th Ave & 24th St,40.749546,-74.0066086,intersection,357
11th Ave & 25th St,40.750183,-74.0060963,intersection,358
11th Ave & 26th St,40.7507957,-74.0056282,intersection,359
11th Ave & 27th St,40.7514154,-74.0051723,intersection,360
11th Ave & 28th St,40.7520323,-74.0047257,intersection,361
11th Ave & 29th St,40.7526522,-74.004272,intersection,362
11th Ave & 30th St,40.7532776,-74.0038583,intersection,363
11th Ave & 33rd St,40.7551224,-74.0024595,intersection,364
11th Ave & 34th St,40.7557842,-74.00197,intersection,365
11th Ave & 35th St,40.7564474,-74.0015035,intersection,366
11th Ave & 36th St,40.7570613,-74.0010527,intersection,367
11th Ave & 37th St,40.7576845,-74.0005977,intersection,368
11th Ave & 38th St,40.7583115,-74.0001428,intersection,369
11th Ave & 39th St,40.7589141,-73.9996907,intersection,370
11th Ave & 40th St,40.7595325,-73.999242,intersection,371
11th Ave & 41st St,40.7601566,-73.9987993,intersection,372
11th Ave & 42nd St,40.7608399,-73.99832,intersection,373
11th Ave & 43rd St,40.7615124,-73.9978323,intersection,374
11th Ave & 44th St,40.7621338,-73.9973885,intersection,375
11th Ave & 45th St,40.7627566,-73.9969327,intersection,376
11th Ave & 46th St,40.7633792,-73.9964636,intersection,377
11th Ave & 47th St,40.7640121,-73.9960221,intersection,378
11th Ave & 48th St,40.7646292,-73.9955502,intersection,379
11th Ave & 49th St,40.7652578,-73.9950906,intersection,380
11th Ave & 50th St,40.7658743,-73.9946438,intersection,381
11th Ave & 51st St,40.7665029,-73.9941644,intersection,382
11th Ave & 52nd St,40.7671242,-73.9937185,intersection,383
11th Ave & 53rd St,40.7677526,-73.9932741,intersection,384
11th Ave & 54th St,40.7683877,-73.9928199,intersection,385
11th Ave & 55th St,40.7690347,-73.9923529,intersection,386
11th Ave & 56th St,40.7696336,-73.9919008,intersection,387
11th Ave & 57th St,40.770312,-73.9913902,intersection,388
11th Ave & 58th St,40.770987,-73.9909029,intersection,389
11th Ave & 59th St,40.7716232,-73.9904523,intersection,390
11th St & Ave D,40.7254842,-73.9747372,intersection,391
11th St & Ave C,40.7264742,-73.9770989,intersection,392
11th St & Ave B,40.7274569,-73.9794553,intersection,393
11th St & Ave A,40.7284375,-73.9817863,intersection,394
11th St & 1st Ave,40.7293824,-73.9840037,intersection,395
11th St & 2nd Ave,40.730379,-73.9863665,intersection,396
11th St & 3rd Ave,40.7313232,-73.9886177,intersection,397
11th St & 4th Ave,40.7319651,-73.9902178,intersection,398
11th St & Broadway,40.7324459,-73.991281,intersection,399
11th St & University Pl,40.7333051,-73.9933255,intersection,400
11th St & 5th Ave,40.7340256,-73.9950724,intersection,401
11th St & 6th Ave,40.735378,-73.9982757,intersection,402
11th St & 7th Ave,40.7365205,-74.0011675,intersection,403
11th St & Waverly Pl,40.7364072,-74.0019554,intersection,404
11th St & West 4th St,40.736204,-74.0035456,intersection,405
11th St & Bleecker St,40.7359572,-74.0051449,intersection,406
11th St & Hudson St,40.7358455,-74.0059666,intersection,407
11th St & Greenwich St,40.7357242,-74.0068164,intersection,408
11th St & Washington St,40.7355176,-74.0083528,intersection,409
11th St & West St,40.7353057,-74.0099765,intersection,410
120th St & Riverside Dr,40.81133,-73.9639724,intersection,411
120th St & Broadway,40.8105017,-73.9619668,intersection,412
120th St & Amsterdam Ave,40.8093447,-73.9592323,intersection,413
120th St & Morningside Dr,40.8086719,-73.9576189,intersection,414
120th St & Morningside Ave,40.8081908,-73.9563369,intersection,415
120th St & Manhattan Ave,40.8076104,-73.954949,intersection,416
120th St & Frederick Douglass Blvd,40.8069984,-73.9535,intersection,417
120th St & St Nicholas Ave,40.806713,-73.9528692,intersection,418
120th St & Adam Clayton Powell Jr Blvd,40.8057514,-73.9505811,intersection,419
120th St & Malcolm X Blvd,40.8046136,-73.9478841,intersection,420
120th St & Mt Morris Park W,40.803896,-73.9461977,intersection,421
120th St & 5th Ave,40.8032362,-73.9446283,intersection,422
120th St & Madison Ave,40.802546,-73.9430016,intersection,423
120th St & Park Ave,40.8019214,-73.9414992,intersection,424
120th St & Lexington Ave,40.8011855,-73.9397639,intersection,425
120th St & 3rd Ave,40.8005138,-73.9381432,intersection,426
120th St & 2nd Ave,40.7994889,-73.9357142,intersection,427
120th St & 1st Ave,40.7985784,-73.9335398,intersection,428
120th St & Pleasant Ave,40.797615,-73.9312465,intersection,429
E 121st St & 2nd Ave,40.8002058,-73.9354563,intersection,430
E 121st St & 3rd Ave,40.8011407,-73.9376837,intersection,431
E 121st St & Lexington Ave,40.801816,-73.9393086,intersection,432
E 121st St & Park Ave,40.8024409,-73.9407654,intersection,433
E 121st St & Madison Ave,40.8031817,-73.9425401,intersection,434
W 121st St & Mt Morris Park W,40.8045333,-73.945738,intersection,435
W 121st St & Malcolm X Blvd,40.8051905,-73.9472791,intersection,436
W 121st St & Adam Clayton Powell Jr Blvd,40.8064615,-73.9502992,intersection,437
W 121st St & St Nicholas Ave,40.8075616,-73.9529161,intersection,438
W 121st St & Frederick Douglass Blvd,40.8076175,-73.9530435,intersection,439
W 121st St & Manhattan Ave,40.8082343,-73.954481,intersection,440
W 121st St & Morningside Dr,40.8093962,-73.9572561,intersection,441
W 121st St & Morningside Ave,40.8088271,-73.9558811,intersection,442
W 121st St & Amsterdam Ave,40.8099825,-73.9587484,intersection,443
W 121st St & Broadway,40.8111677,-73.9614732,intersection,444
E 122nd St & 2nd Ave,40.800749,-73.9348072,intersection,445
E 122nd St & 3rd Ave,40.8017693,-73.9372203,intersection,446
E 122nd St & Lexington Ave,40.8024451,-73.938844,intersection,447
E 122nd St & Park Ave,40.8030699,-73.9403078,intersection,448
E 122nd St & Madison Ave,40.8038221,-73.9420729,intersection,449
W 122nd St & Mt Morris Park W,40.8051647,-73.9452757,intersection,450
W 122nd St & Malcolm X Blvd,40.8058146,-73.9468231,intersection,451
