56 MacDougal St,40.72759,-74.0024,4.0,1692433938,42439335
19 E 26th St,40.7431036279,-73.9870538457,4.0,42429876,4597668032
344 Bowery,40.7263350655,-73.9920476876,4.0,1773084407,1773084402
237 W 35th St,40.7522805974,-73.9916151019,4.0,42430308,42435645
77 Irving Pl,40.73695,-73.98677,3.5,42434358,42434360
41-11 49th St,40.7459065,-73.915103,5.0,42807836,42932839
55TH And Broadway,40.7647655945,-73.982264711,4.0,42446218,42453717
21-52 44th Dr,40.74745,-73.94552,4.0,42825546,42825544
115 Allen St,40.719597,-73.990546,4.0,486868873,3212472843
801 9th Ave,40.7655982971,-73.9878158569,3.5,1815133244,4207837422
69 Thompson St,40.72448,-74.00327,4.0,42436763,42436761
95 Allen St,40.7187563142,-73.9908945159,4.0,3212472843,42437990
26 Clinton St,40.72044,-73.98412,4.5,1919595921,42440401
252 E 51st St,40.755592,-73.968588,4.0,6166999550,5475605298
1729 1st Av,40.77929,-73.94785,4.5,6166999548,42436537
180 Spring St,40.724678,-74.002624,4.0,42433577,42428441
167 3rd Ave,40.73468,-73.98596,4.0,42440729,42448701
517 Lexington Ave,40.7552634948,-73.972969979,3.5,42438889,42434085
68 Greenwich Ave,40.736214,-74.000729,4.0,42432201,42430828
584 Amsterdam Ave,40.78935,-73.97411,4.0,42442469,42442534
2893 Broadway,40.8057975769,-73.965675354,3.5,42428790,42428782
164 Bedford Ave,40.718423,-73.9574279,4.0,42484171,42479277
1000 3rd Ave,40.762018681,-73.9673249102,4.0,4288677093,6177439759
423 Amsterdam Ave,40.78388,-73.97743,3.5,42442469,42442534
190 6th Ave,40.726306,-74.003427,4.0,42430154,4321677346
28 8th Ave,40.7377699951,-74.0043362651,4.0,42435578,4492821528
200 Church St,40.7162705536,-74.0072225928,4.0,42452817,4143851142
442 3rd Ave,40.74364,-73.97985,4.0,42449928,42445378
107 W 18th St,40.7401399,-73.99543,4.0,42429663,42429657
2058 Broadway Ave,40.777484497,-73.9817932784,4.0,1996323622,1061531448
164 Mott St,40.7196877017,-73.9961054743,3.5,42432184,42427327
130 Franklin St,40.719255,-74.006607,4.0,42453038,4143851144
239 Park Ave S,40.7379388,-73.9878026,3.5,42456543,42453310
264 W 35th St,40.75264,-73.99272,4.5,42430308,42435645
49 Carmine St,40.7299986601,-74.0038951002,4.0,42430761,42431773
1085 5th Ave,40.7837603758,-73.958550378,4.0,42444809,42429314
47 E Houston St,40.724759,-73.994728,4.0,1918039897,4202908169
121 W 29th,40.7472270748,-73.9910034435,4.5,42430288,42428227
515 3rd Ave,40.74598,-73.97753,4.5,42445378,42449932
515 W 52nd St,40.7663868,-73.9915846,4.0,42446386,42446353
206 Thompson St,40.72863,-73.99938,4.0,6213204062,1692433932
119 MacDougal St,40.7302281,-74.0004194,3.5,1692433941,6213204043
125 W 43rd St,40.75618,-73.98461,3.5,42430338,42439981
88 2nd Ave,40.7268483205,-73.9887172039,3.5,42442843,4202957549
178 E 7th St,40.7252271901,-73.981630297,4.5,42434205,42434196
132 W 31st St,40.748365524,-73.9907944749,4.0,42430292,4557517549
359 E 68th St,40.7654836,-73.9581354,4.0,42427991,1733612459
463 W Broadway,40.72624,-74.00013,3.5,42454423,42448558
620 E 6th St,40.724055,-73.980757,4.0,42444835,42444837
77 St Mark's Pl,40.727969,-73.985604,3.5,42434145,42434148
114 Eldridge St,40.7181419094,-73.9918541716,4.5,42429637,1918039876
1000 Madison Ave,40.7752929376,-73.9629447443,4.0,42446021,42435499
172 Rivington St,40.719129,-73.984509,4.0,42437071,42437108
40 East 33rd St,40.7469069958,-73.9831063896,4.0,561042188,42446701
26 1st Ave,40.723690033,-73.98783,4.0,42453601,6133355298
242 8th Ave,40.744758,-73.998535,3.5,4205565533,42435624
220 E 53rd St,40.75716,-73.96864,4.5,4207124945,42436707
166 S 4th St,40.711191,-73.961424,4.0,42467551,42506331
212 Ave B,40.728702,-73.978828,4.0,42436947,42436943
820 Washington St,40.739618,-74.008443,3.5,42455357,42431508
617 9th Ave,40.759613,-73.992088,4.0,42445011,42437368
1241 Amsterdam Ave,40.810041,-73.958693,4.0,3579432161,3579432162
181 W 10th St,40.7344894409,-74.0026245117,4.0,42430811,42432194
228 W 47th St,40.7595053741,-73.9854379269,4.0,42428303,593921860
211 Waverly Pl,40.73534,-74.00151,3.5,42430818,42433261
466 Hudson St,40.7318649,-74.0064011,4.5,42436384,4207862996
359 W Broadway,40.7229607269,-74.0032050568,3.5,42452026,42454423
156 7th Ave,40.742,-73.99755,3.5,42439830,42439823
990 Columbus Ave,40.80104,-73.96178,3.5,4205830396,42443413
911 7th Ave,40.7658521958,-73.9794330641,4.0,42440022,42440015
1295 Madison Ave,40.78481,-73.95575,3.5,42446086,42446093
60 W 129th St,40.810030608,-73.9431898388,4.0,42451564,2141026508
1626 Broadway,40.76095,-73.9841299,3.5,42428287,42428258
29 E 30th St,40.7451615,-73.9842359,3.5,42445404,42445409
557 3rd Ave,40.747395,-73.97649,4.0,42449685,42443615
303 Lexington Ave,40.7484183,-73.9780442,3.5,42446942,42446941
643 Broadway,40.7267218936,-73.9960178733,4.0,6213204045,1692433919
54 Prince St,40.723485,-73.996299,3.5,1773078006,42454423
1010 50th Ave,40.742559,-73.953697,4.0,42844233,42866953
174 Grand St,40.71971,-73.99785,4.0,42439207,42440810
145 E Houston St,40.7231079,-73.9897536,4.0,4202908168,4557539295
18 Spring St,40.72135,-73.99502,3.5,42442247,1773076509
117 W 10th St,40.734882,-73.9994844,4.0,42432194,42430857
813 8th Ave,40.7615693,-73.9867747,4.0,4207957615,42432589
252 W 29th St,40.7487508496,-73.9952297485,4.0,42427786,2703228467
201 W 79th St,40.78337,-73.97847,3.5,42442463,42428653
200 Mott St,40.721202,-73.995401,3.5,4202950102,42429752
211 W Broadway,40.7188969,-74.0062207,4.0,42448162,42452816
69 1st Ave,40.72543,-73.98711,4.0,6133355297,42453166
75 9th Ave,40.7426318197,-74.0062284492,3.5,4557517552,4557517550
98 Kenmare St,40.7212623954,-73.9969895035,3.5,42429752,42430044
465 W 23rd St,40.7476868,-74.0037054,4.5,42437909,6279091713
337B W Broadway,40.7223798,-74.0035218,3.5,42452026,42454423
551 Amsterdam Ave,40.7879297,-73.9746239,4.0,42442469,42442534
913 Broadway,40.7396,-73.9898,3.5,42428174,42428170
335 E 27th St,40.73985,-73.97742,4.5,42442895,42434800
1439 York Ave,40.7697981,-73.9518043,4.0,42428015,42428016
26 Bond St,40.726621,-73.993545,3.5,42445520,42437618
42 W 58th St,40.7644006446,-73.9756905215,4.0,42427764,42427762
313 Amsterdam Ave,40.78031,-73.98018,3.5,42432564,42442463
210 E 3rd St,40.7224831124,-73.9827845895,3.0,42437349,42437339
564 3rd Ave At 38th St,40.7478391,-73.9767603,4.0,42449685,42446942
1647 2nd Ave,40.7775579,-73.9521892,4.0,42429340,42429693
26 Saint Marks Pl,40.72877,-73.98873,4.0,42434140,42434145
123 W 44th St,40.75667,-73.98414,3.5,42430342,42443556
145 E 50th St,40.75628,-73.97144,3.5,42449956,42442952
156 E 33rd St,40.7452456,-73.9793704,4.5,561042188,42446701
1055 Lexington Ave,40.7722,-73.96065,3.5,42447060,42447020
79 Clinton St,40.7190299,-73.98521,4.5,3630219668,1919595921
50 Ave A,40.72383,-73.98478,4.0,42451604,42455039
271 W 119th St,40.80613,-73.95317,4.0,42432900,42440125
283 E Houston St,40.72131,-73.98436,4.0,4202899498,1919595921
168 Ave B,40.72727,-73.97987,4.5,2324482224,42455412
2541 Broadway,40.7942,-73.97248,4.0,42428711,4215936667
1501 Broadway,40.7568933349,-73.986552993,3.0,42428287,42428258
68 W 3rd St,40.7293583,-73.9983112583,3.5,42428458,42430217
214 E 45th St,40.75228,-73.97233,3.5,4207915681,42444051
77 N 6th St,40.7188839656,-73.9606090849,4.0,42469499,42506166
